question_item_id,lang,answer_id,label
q0101,de,0,1 = No knowledge
q0101,de,1,2 = Low
q0101,de,2,3 = Partly
q0101,de,3,4 = Good
q0101,de,4,5 = Very good knowledge
q0102,de,0,No
q0102,de,1,Yes
q0103,de,1,0 - 2 hours per week
q0103,de,2,2 - 4 hours per week
q0103,de,3,4  - 6 hours per week
q0103,de,4,More than 6 hours
q0104,de,0,0
q0104,de,1,1
q0104,de,2,2
q0104,de,3,3
q0104,de,4,More than 3
q0201,de,0,1 = This is not relevant to me
q0201,de,1,2 = This is also relevant to me
q0201,de,2,3 = This is the main focus for me
q0201,de,996,0 = Not specified
q0202,de,0,No
q0202,de,1,Yes
q0203,de,0,1 = Not true
q0203,de,1,2 = Rather not true
q0203,de,2,3 = Partly true
q0203,de,3,4 = Rather true
q0203,de,4,5 = True
q0301,de,0,1 =  Never
q0301,de,1,2 = Rarely
q0301,de,2,3 = Occasionally
q0301,de,3,4 = Often
q0301,de,4,5 = Very often
q0302,de,0,1 = No knowledge
q0302,de,1,2 = Low
q0302,de,2,3 = Partly
q0302,de,3,4 = Good
q0302,de,4,5 = Very good knowledge
q0303,de,0,No
q0303,de,1,Yes
q0304,de,1,Yes
q0305,de,1,Yes
q0306,de,1,Yes
q0307,de,1,Yes
q0401,de,1,Yes
q0402,de,1,16 to 17 years old
q0402,de,2,18 to 24 years old
q0402,de,3,25 to 30 years old
q0402,de,4,31 to 35 years old
q0402,de,5,36 to 40 years old
q0402,de,6,41 years and older
q0403,de,1,Yes
q0405,de,1,1
q0405,de,2,2
q0405,de,3,3
q0405,de,4,4
q0405,de,5,5
q0405,de,6,6
q0405,de,7,7
q0405,de,8,8
q0405,de,9,9
q0405,de,10,10
q0406,de,1,1
q0406,de,2,2
q0406,de,3,3
q0406,de,4,4
q0406,de,5,5
q0406,de,6,6
q0406,de,7,7
q0406,de,8,8
q0406,de,9,9
q0406,de,10,10
q0407,de,1,1
q0407,de,2,2
q0407,de,3,3
q0407,de,4,4
q0407,de,5,5
q0407,de,6,6
q0407,de,7,7
q0407,de,8,8
q0407,de,9,9
q0407,de,10,10
q0408,de,1,Yes
q0409,de,0,No
q0409,de,1,Yes
q0410,de,0,No
q0410,de,1,"Yes, through the status as “Aussiedler*in” oder “Spätaussiedler*in” (or as a descendant or spouse of a “(Spät-)Aussiedler*in”)."
q0411,de,0,No
q0411,de,1,Yes
q0412,de,2,Afghanistan [AFG]
q0412,de,3,Albania [ALB]
q0412,de,4,Algeria [DZA]
q0412,de,5,Andorra [AND]
q0412,de,6,Angola [AGO]
q0412,de,7,Antarctica [ATA]
q0412,de,8,Antigua and Barbuda [ATG]
q0412,de,9,Argentina [ARG]
q0412,de,10,Armenia [ARM]
q0412,de,11,Australia [AUS]
q0412,de,12,Austria [AUT]
q0412,de,13,Azerbaijan [AZE]
q0412,de,14,Bahamas [BHS]
q0412,de,15,Bahrain [BHR]
q0412,de,16,Bangladesh [BGD]
q0412,de,17,Barbados [BRB]
q0412,de,18,Belarus [BLR]
q0412,de,19,Belgium [BEL]
q0412,de,20,Belize [BLZ]
q0412,de,21,Benin [BEN]
q0412,de,22,Bhutan [BTN]
q0412,de,23,Bolivia [BOL]
q0412,de,24,Bosnia and Herzegovina [BIH]
q0412,de,25,Botswana [BWA]
q0412,de,26,Brazil [BRA]
q0412,de,27,Brunei [BRN]
q0412,de,28,Bulgaria [BGR]
q0412,de,29,Burkina Faso [BFA]
q0412,de,30,Burundi [BDI]
q0412,de,31,Cambodia [KHM]
q0412,de,32,Cameroon [CMR]
q0412,de,33,Canada [CAN]
q0412,de,34,Cape Verde [CPV]
q0412,de,35,Central African Republic [CAF]
q0412,de,36,Chad [TCD]
q0412,de,37,Chile [CHL]
q0412,de,38,China [CHN]
q0412,de,39,Colombia [COL]
q0412,de,40,Comoros [COM]
q0412,de,41,Congo (Democratic Republic of) [COD]
q0412,de,42,Congo (Republic of) [COG]
q0412,de,43,Cook Islands [COK]
q0412,de,44,Costa Rica [CRI]
q0412,de,45,Côte d'Ivoire [CIV]
q0412,de,46,Croatia [HRV]
q0412,de,47,Cuba [CUB]
q0412,de,48,Cyprus [CYP]
q0412,de,49,Czech Republic [CZE]
q0412,de,50,Denmark [DNK]
q0412,de,51,Djibouti [DJI]
q0412,de,52,Dominica [DMA]
q0412,de,53,Dominican Republic [DOM]
q0412,de,54,Ecuador [ECU]
q0412,de,55,Egypt [EGY]
q0412,de,56,El Salvador [SLV]
